عبارت,فرکانس کل,تعداد پرونده‌ی متمایز,دسته‌ی پیشنهادی,نزدیک‌ترین واژه‌ی موجود (امتیاز),پیشنهاد نهایی,دسته_بازبینی
به جهات,156,140,concept,جهت‌گیری (0.68),واژه‌ی جدید,concept
اتخاذ تصمیم,169,140,concept,تصمیم‌گیری (0.94),alias پیشنهادی برای «تصمیم‌گیری»,concept
احمدی,154,140,object,یادداشت (0.56),واژه‌ی جدید,object
مطابق قانون,148,140,principle,طبق قانون (0.97),alias پیشنهادی برای «طبق قانون»,principle
به بی,169,140,concept,سب (0.61),واژه‌ی جدید,concept
نظربه,190,140,role,صاحب‌نظر (0.63),واژه‌ی جدید,role
در نظر,150,140,role,صاحب‌نظر (0.72),واژه‌ی جدید,REMOVE
تمکین از,239,140,action,تمکین (0.86),واژه‌ی جدید,action
مصون از,145,139,action,جلوگیری (0.67),واژه‌ی جدید,action
صرفا,190,139,principle,فقط در صورت (0.76),واژه‌ی جدید,principle
منعکس در,174,139,object,منقول (0.67),واژه‌ی جدید,object
مضبوط,171,139,action,جدیت (0.62),واژه‌ی جدید,action
بر خلاف,178,139,concept,خلاف (0.76),واژه‌ی جدید,concept
محکومیت تجدیدنظرخواه,156,139,concept,محکومیت (0.85),واژه‌ی جدید,concept
ندارد لذا,143,139,action,عدم حضور (0.67),واژه‌ی جدید,REMOVE
لذا تقاضای,166,139,object,طلب (0.69),واژه‌ی جدید,object
انشاء,178,139,action,تأسیس (0.70),واژه‌ی جدید,action
محکوم شده,172,139,role,محکوم (0.91),alias پیشنهادی برای «محکوم»,role
صد,230,139,concept,سب (0.59),واژه‌ی جدید,REMOVE
النهایه,150,138,concept,اشاعه (0.64),واژه‌ی جدید,concept
موجه نیست,140,138,concept,غیرقابل اثبات (0.73),واژه‌ی جدید,concept
عمل نیامده,142,138,concept,غیرقابل اعمال (0.70),واژه‌ی جدید,concept
در قرارداد,241,138,object,قرارداد (0.83),واژه‌ی جدید,object
معاملات,236,138,object,معامله (0.83),واژه‌ی جدید,object
وحدت رویه,226,138,principle,رویه قضائی (0.69),واژه‌ی جدید,principle
صدر,161,138,role,مشتری (0.56),واژه‌ی جدید,REMOVE
این حیث,162,138,principle,طبق قانون (0.61),واژه‌ی جدید,principle
محترم تجدید,150,138,action,تجدید نظر (0.75),واژه‌ی جدید,action
آثار,183,138,object,شواهد (0.59),واژه‌ی جدید,object
اعتراض تجدیدنظرخواه,151,138,concept,تجدیدنظر (0.82),واژه‌ی جدید,concept
سن,263,138,object,سند (0.68),واژه‌ی جدید,REMOVE
انضمام خسارات,166,137,object,هزینه خسارت (0.68),واژه‌ی جدید,object
دفاتر,179,137,object,دفترخانه (0.75),واژه‌ی جدید,object
وقوع عقد,198,137,concept,عقد (0.83),واژه‌ی جدید,concept
ابرام می,141,137,concept,ارحام (0.56),واژه‌ی جدید,concept
معنونه,160,137,concept,تعریف (0.67),واژه‌ی جدید,concept
تنظیمی در,185,137,action,تنظیم (0.81),واژه‌ی جدید,action
ارتباط,198,137,action,همکاری (0.70),واژه‌ی جدید,action
استناد بند,163,137,action,ارجاع (0.67),واژه‌ی جدید,action
زوج را,178,137,concept,ازدواج (0.64),واژه‌ی جدید,concept
حق فسخ,320,137,action,فسخ (0.89),alias پیشنهادی برای «فسخ»,action
لذا بنا,141,137,concept,سبب (0.58),واژه‌ی جدید,concept
ضمن ردّ,144,137,action,رد (0.77),واژه‌ی جدید,action
این توضیح,153,136,object,دلایل توجیهی (0.68),واژه‌ی جدید,object
ماهیانه,269,136,object,هفتگی (0.64),واژه‌ی جدید,object
تجدیدنظرخواهی را,137,136,concept,تجدیدنظر (0.84),واژه‌ی جدید,concept
به جامع,147,136,concept,کامل (0.62),واژه‌ی جدید,concept
را داشته,163,136,concept,شخص (0.63),واژه‌ی جدید,REMOVE
وجاهت قانونی,151,136,concept,قانونی بودن (0.71),واژه‌ی جدید,concept
متولد,249,136,role,نویسنده (0.67),واژه‌ی جدید,role
گردد که,154,136,action,ذکر (0.60),واژه‌ی جدید,action
به منزل,225,136,action,ورود به ملک (0.70),واژه‌ی جدید,action
علقه زوجیت,151,136,concept,نفقه (0.70),واژه‌ی جدید,concept
دانستن,149,135,action,یافتن (0.73),واژه‌ی جدید,action
اکنون,166,135,role,مباشر (0.64),واژه‌ی جدید,role
فرجام خوانده,254,135,action,فرجام (0.79),واژه‌ی جدید,action
ضرورت,165,135,concept,نیاز (0.76),واژه‌ی جدید,concept
نقدی,237,135,concept,جزای نقدی (0.75),واژه‌ی جدید,concept
تقاضا,161,135,object,طلب (0.79),واژه‌ی جدید,object
مطلب,148,135,role,مضمون (0.78),واژه‌ی جدید,role
معامله را,202,135,object,معامله (0.86),واژه‌ی جدید,object
از باب,163,134,principle,طبق قانون (0.67),واژه‌ی جدید,principle
تقدیم نموده,156,134,concept,تبرع (0.70),واژه‌ی جدید,concept
با مقررات,138,134,principle,طبق قانون (0.81),واژه‌ی جدید,principle
رییس شعبه,148,134,role,رئیس دادگاه (0.71),واژه‌ی جدید,role
نرخ,252,134,object,هزینه (0.68),واژه‌ی جدید,REMOVE
اشتغال,247,134,object,شغل (0.79),واژه‌ی جدید,object
ضمناً,163,134,concept,غیرمستقیم (0.69),واژه‌ی جدید,concept
متعدد,183,134,concept,عده (0.66),واژه‌ی جدید,concept
لذا دعوی,142,134,action,اقامه دعوی (0.75),واژه‌ی جدید,action
تحصیل,235,134,action,گذراندن (0.69),واژه‌ی جدید,action
دفتر اسناد,233,134,object,دفتر اسناد رسمی (0.89),alias پیشنهادی برای «دفتر اسناد رسمی»,object
دلیلی که,141,134,concept,علت (0.82),واژه‌ی جدید,concept
ازجمله,181,134,principle,لحاظ (0.66),واژه‌ی جدید,principle
پیوست پرونده,172,133,object,پیوست‌نامه (0.81),واژه‌ی جدید,object
اعلام گردیده,162,133,action,برآورد (0.69),واژه‌ی جدید,action
فرجامخواهی,339,133,action,فرجام (0.72),واژه‌ی جدید,action
یادشده,183,133,action,یادآوری (0.75),واژه‌ی جدید,action
قانون فوق,134,133,concept,قانون منع تجاوز (0.71),واژه‌ی جدید,concept
دلائل,152,133,object,دلایل توجیهی (0.81),واژه‌ی جدید,object
ملاک,176,133,object,بلاک (0.58),واژه‌ی جدید,object
اظهارات خواهان,144,133,role,اصحاب دعوی (0.71),واژه‌ی جدید,role
معوقه,280,133,concept,مانع (0.72),واژه‌ی جدید,concept
رفتار,309,133,action,تصرف (0.78),واژه‌ی جدید,action
وکیل زوجه,278,133,role,وکیل (0.76),واژه‌ی جدید,role
اعاده می,138,133,action,اعاده اعتبار (0.79),واژه‌ی جدید,action
جهیزیه,401,132,concept,ازدواج (0.65),واژه‌ی جدید,concept
یکصد,214,132,object,واحد پول (0.64),واژه‌ی جدید,object
خوانده آقای,159,132,role,موصی له (0.64),واژه‌ی جدید,role
تاخیر تادیه,319,132,concept,تأخیر (0.83),واژه‌ی جدید,concept
به استرداد,206,132,action,استرداد (0.89),alias پیشنهادی برای «استرداد»,action
این اساس,151,132,principle,طبق قانون (0.60),واژه‌ی جدید,principle
هیچیک,144,132,concept,بی‌دلیل (0.58),واژه‌ی جدید,concept
منع,242,132,action,جلوگیری (0.78),واژه‌ی جدید,REMOVE
اینکه تجدیدنظرخواه,135,132,concept,تجدیدنظر (0.85),واژه‌ی جدید,concept
استدعاست,162,132,action,فراخوانی (0.70),واژه‌ی جدید,action
مورد استدعاست,162,132,object,طلب (0.74),واژه‌ی جدید,object
تبادل لوایح,156,132,action,تعویض سند (0.63),واژه‌ی جدید,action
به مجموع,138,132,principle,لحاظ (0.64),واژه‌ی جدید,principle
از همان,166,132,principle,طبق قانون (0.65),واژه‌ی جدید,REMOVE
ادعایی,174,131,concept,ادعا (0.92),alias پیشنهادی برای «ادعا»,concept
مغایر,161,131,concept,مغایرت (0.90),alias پیشنهادی برای «مغایرت»,concept
نهایتاً,175,131,object,رای نهایی (0.64),واژه‌ی جدید,object
صادر کرده,180,131,role,صادرکننده (0.75),واژه‌ی جدید,role
در قسمت,192,131,concept,خارج از موضوع (0.68),واژه‌ی جدید,concept
وکیل وی,166,131,role,وکیل (0.84),واژه‌ی جدید,role
سوم دادگاه,197,131,role,ثالث (0.69),واژه‌ی جدید,role
قرائت می,137,131,concept,استقراء (0.65),واژه‌ی جدید,concept
ساقط,186,131,action,اسقاط (0.67),واژه‌ی جدید,action
با ملاحظه,142,131,principle,ملاحظه قانونی (0.76),واژه‌ی جدید,principle
موضوعه,141,131,role,موصی له (0.70),واژه‌ی جدید,role
اجرایی,221,131,concept,واحد اجرایی (0.80),واژه‌ی جدید,concept
به دادخواست,143,131,object,دادخواست (0.88),alias پیشنهادی برای «دادخواست»,object
حسینی,140,131,role,مشتری (0.57),واژه‌ی جدید,role
مقرون,144,131,role,مغبون (0.59),واژه‌ی جدید,role
گفت,381,131,concept,ادعا (0.65),واژه‌ی جدید,REMOVE
به درخواست,162,130,object,طلب (0.80),واژه‌ی جدید,object
تشخیص نداده,135,130,concept,نبود صلاحیت (0.69),واژه‌ی جدید,concept
نماید این,138,130,object,موصى به (0.64),واژه‌ی جدید,REMOVE
خواهان آقای,157,130,object,طلب (0.78),واژه‌ی جدید,object
طبق تعرفه,153,130,principle,طبق قانون (0.83),واژه‌ی جدید,principle
انتخاب,170,130,concept,حق انتخاب (0.85),واژه‌ی جدید,concept
از توجه,145,130,principle,لحاظ (0.69),واژه‌ی جدید,principle
که طی,158,130,action,طی نامه (0.68),واژه‌ی جدید,action
پرداخت نماید,175,130,action,پرداخت (0.85),واژه‌ی جدید,action
در واقع,166,130,concept,شخصیت حقیقی (0.59),واژه‌ی جدید,concept
موافقت,179,130,concept,توافق (0.84),واژه‌ی جدید,concept
دادخواست خواهان,138,130,object,دادخواست (0.89),alias پیشنهادی برای «دادخواست»,object
تصویر مصدق,160,130,object,تصویر (0.68),واژه‌ی جدید,object
مصدق سند,134,130,object,سند (0.75),واژه‌ی جدید,object
ارایه,201,129,action,پیشنهاد (0.78),واژه‌ی جدید,action
له,166,129,concept,هبه (0.65),واژه‌ی جدید,REMOVE
به کارشناس,154,129,object,موصى به (0.74),واژه‌ی جدید,object
با جلب,160,129,action,جلب (0.88),alias پیشنهادی برای «جلب»,action
عمل نیاورده,134,129,concept,غیرقابل اعمال (0.74),واژه‌ی جدید,concept
ثبت شده,204,129,action,ثبت (0.87),واژه‌ی جدید,action
سمت,266,129,concept,جهت‌گیری (0.65),واژه‌ی جدید,REMOVE
دادرسی را,168,129,concept,دادرسی (0.90),alias پیشنهادی برای «دادرسی»,concept
نباشد,160,129,action,عدم حضور (0.70),واژه‌ی جدید,action
هیچگونه,175,129,concept,بی‌دلیل (0.63),واژه‌ی جدید,concept
موکل به,162,129,role,متهم (0.73),واژه‌ی جدید,role
نگهداری,282,129,concept,حق نگهداری (0.84),واژه‌ی جدید,concept
حین,184,129,action,طی روند دادرسی (0.77),واژه‌ی جدید,REMOVE
منتهی به,158,129,concept,منقطع (0.70),واژه‌ی جدید,concept
به همراه,173,129,action,مرافقه (0.70),واژه‌ی جدید,action
معامله به,211,129,object,معامله (0.88),alias پیشنهادی برای «معامله»,object
مدرکی,140,129,object,مدرک (0.83),واژه‌ی جدید,object
از انجام,155,129,action,ایفای تعهد (0.67),واژه‌ی جدید,action
نجفی,133,129,role,شفیع (0.55),واژه‌ی جدید,role
از بابت,199,128,principle,لحاظ (0.73),واژه‌ی جدید,principle
اوضاع,137,128,concept,احوال (0.79),واژه‌ی جدید,concept
ایفای,184,128,action,ایفای تعهد (0.59),واژه‌ی جدید,action
تجاری,277,128,concept,تجارت (0.84),واژه‌ی جدید,concept
حقوقی شهرستان,192,128,concept,زمینه حقوقی (0.71),واژه‌ی جدید,concept
یک میلیون,189,128,object,واحد پول (0.71),واژه‌ی جدید,object
تجدیدنظرخواهی به,137,128,concept,تجدیدنظر (0.87),واژه‌ی جدید,concept
بر پرداخت,144,128,action,پرداخت (0.85),واژه‌ی جدید,action
صورتی که,148,128,principle,فقط در صورت (0.63),واژه‌ی جدید,principle
موجب سند,213,128,object,سند (0.72),واژه‌ی جدید,object
رأی صادر,169,128,object,رأی (0.82),واژه‌ی جدید,object
نقض رأی,177,127,action,نقض (0.82),واژه‌ی جدید,action
دیوانعالی,181,127,role,دیوان عدالت اداری (0.69),واژه‌ی جدید,role
مراجع,173,127,role,مراجع ذیصلاح (0.71),واژه‌ی جدید,role
به موکل,182,127,role,موصی له (0.70),واژه‌ی جدید,role
